Protein.IDs	Majority.protein.IDs	Fasta.headers	125amol-12500amol_PValue	25000amol-12500amol_PValue	2500amol-12500amol_PValue	250amol-12500amol_PValue	50000amol-12500amol_PValue	5000amol-12500amol_PValue	500amol-12500amol_PValue	50amol-12500amol_PValue	125amol-12500amol_AdjPVal	25000amol-12500amol_AdjPVal	2500amol-12500amol_AdjPVal	250amol-12500amol_AdjPVal	50000amol-12500amol_AdjPVal	5000amol-12500amol_AdjPVal	500amol-12500amol_AdjPVal	50amol-12500amol_AdjPVal	125amol-12500amol_log2FoldChange	25000amol-12500amol_log2FoldChange	2500amol-12500amol_log2FoldChange	250amol-12500amol_log2FoldChange	50000amol-12500amol_log2FoldChange	5000amol-12500amol_log2FoldChange	500amol-12500amol_log2FoldChange	50amol-12500amol_log2FoldChange	featureAvg	Sample.1_Tr_1	Sample.1_Tr_2	Sample.1_Tr_3	Sample.2_Tr_1	Sample.2_Tr_2	Sample.2_Tr_3	Sample.3_Tr_1	Sample.3_Tr_2	Sample.3_Tr_3	Sample.4_Tr_1	Sample.4_Tr_2	Sample.4_Tr_3	Sample.5_Tr_1	Sample.5_Tr_2	Sample.5_Tr_3	Sample.6_Tr_1	Sample.6_Tr_2	Sample.6_Tr_3	Sample.7_Tr_1	Sample.7_Tr_2	Sample.7_Tr_3	Sample.8_Tr_1	Sample.8_Tr_2	Sample.8_Tr_3	Sample.9_Tr_1	Sample.9_Tr_2	Sample.9_Tr_3
REV__sp|P32600|TOR2_YEAST	REV__sp|P32600|TOR2_YEAST	sp|P32600|TOR2_YEAST Serine/threonine-protein kinase TOR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOR2 PE=1 SV=3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5424103430686	NA	NA	NA	NA	20.8629490635892	25.1855956415334	NA
REV__sp|P34110|VPS35_YEAST	REV__sp|P34110|VPS35_YEAST	sp|P34110|VPS35_YEAST Vacuolar protein sorting-associated protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS35 PE=1 SV=2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3263570661428	23.1577687980224	NA	NA	NA
REV__sp|P40356|MED3_YEAST	REV__sp|P40356|MED3_YEAST	sp|P40356|MED3_YEAST Mediator of RNA polymerase II transcription subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGD1 PE=1 SV=2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.3635658591649	NA	22.7993069210869	22.4920878908685	NA	22.1891826993737	NA	NA	NA	NA	NA	22.5043612465826	NA	23.5575403606851	NA	NA	NA	NA	NA	22.3482462015632	22.5140523153514	22.5495722391644	22.5304339619694	NA	NA	22.4577375646688
REV__sp|P43634|CHA4_YEAST	REV__sp|P43634|CHA4_YEAST	sp|P43634|CHA4_YEAST Activatory protein CHA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHA4 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.7250899474546	NA	21.2273503582494	21.2352032144032	NA	NA	NA	NA	NA	NA	22.1893033714528	21.521044447236	NA	NA	NA	NA	NA	21.7604438289185	NA	NA	21.7422995664749	NA	21.7082621516658	21.194242256306	NA	NA
REV__sp|P53241|VHT1_YEAST	REV__sp|P53241|VHT1_YEAST	sp|P53241|VHT1_YEAST Vitamin H transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VHT1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4800668463371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REV__sp|Q07381|TSR1_YEAST	REV__sp|Q07381|TSR1_YEAST	sp|Q07381|TSR1_YEAST Ribosome biogenesis protein TSR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TSR1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3351089870694	NA	23.5555524523102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REV__sp|Q07457|BRE1_YEAST	REV__sp|Q07457|BRE1_YEAST	sp|Q07457|BRE1_YEAST E3 ubiquitin-protein ligase BRE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BRE1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8003343409737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.8850666325211	NA	NA	NA	NA	NA	NA
REV__sp|Q08822|ETFD_YEAST	REV__sp|Q08822|ETFD_YEAST	sp|Q08822|ETFD_YEAST Probable electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIR2 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.7899872813656	NA
sp|A5Z2X5|YP010_YEAST	sp|A5Z2X5|YP010_YEAST	sp|A5Z2X5|YP010_YEAST UPF0495 protein YPR010C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR010C-A PE=3 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.9593418981813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.4562591494874	23.8033136697245	NA	NA	NA	NA	NA	NA
sp|O00762ups|UBE2C_HUMAN_UPS	sp|O00762ups|UBE2C_HUMAN_UPS	sp|O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5027599502727	23.5902370711788	23.3891628611806	NA	NA	NA	25.0985249788611	23.733761786266	26.7080674016385	21.8385361066164	22.1103788028074	NA	NA	NA	NA	28.177691585921	26.4456592603302	25.6851196239248	NA	24.236006598404	23.5523895452657	NA	NA	NA	NA	NA	NA
sp|O13516|RS9A_YEAST	sp|O13516|RS9A_YEAST	sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.3765536088465	NA	NA	20.5627194270493	NA	20.7397476530956	NA	NA	NA	NA	NA	20.5150876531757	NA	NA	20.220104319618	NA	NA	NA	NA	NA	NA	NA	NA	20.4167892824801	NA	NA	20.5837108414608
sp|O13547|CCW14_YEAST	sp|O13547|CCW14_YEAST	sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1	0.698348307292348	0.00242469931667659	0.938657026623938	0.10421504684948	0.0567346779837452	0.00194877728077495	0.0105787094846407	0.260505475163173	0.999903620391244	0.336427030188876	0.996848488371953	0.816460660630293	0.588480055138916	0.270392847707525	0.452998107923082	0.916349427908684	0.207189481518235	-1.81766002626524	0.0410703141226989	-0.895673422188363	-1.06343369521687	-1.86659433694783	-1.4802835393448	0.609827058911733	25.2298315105883	26.288856642172	26.0708743357081	25.4182829423549	25.9367439606561	26.3964328413603	26.0664055627733	23.4963125482384	25.3969880443846	23.4317332488163	26.1730846438676	25.987002859469	25.7411373592665	24.5223502108938	25.8477107754882	24.7209326672879	24.4580130339143	25.7585745789632	24.3711252217069	24.8289058168205	23.8287121664791	23.5206129260919	23.9175243239317	23.9707947157351	25.4488442625338	26.5873497075786	26.6082309041821	26.4119144852095
sp|P43538|YFG6_YEAST;sp|P38899|YH18_YEAST;sp|P0CX15|YRF17_YEAST;sp|P53819|YRF16_YEAST;sp|P0CX20|YRF11_YEAST;sp|P0CX21|YRF15_YEAST;sp|P0CX22|YRF18_YEAST;sp|P40434|YIR7_YEAST;sp|P40889|YJW5_YEAST;sp|P40105|YRF12_YEAST;sp|O13559|YRF14_YEAST;sp|Q03099|YMN3_YEAST;sp|Q07888|YL067_YEAST;sp|Q99208|YL066_YEAST;sp|Q3E7X8|YE077_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|P0CX14|YRF13_YEAST	sp|P43538|YFG6_YEAST;sp|P38899|YH18_YEAST;sp|P0CX15|YRF17_YEAST;sp|P53819|YRF16_YEAST;sp|P0CX20|YRF11_YEAST;sp|P0CX21|YRF15_YEAST;sp|P0CX22|YRF18_YEAST;sp|P40434|YIR7_YEAST;sp|P40889|YJW5_YEAST;sp|P40105|YRF12_YEAST;sp|O13559|YRF14_YEAST;sp|Q03099|YMN3_YEAST;sp|Q07888|YL067_YEAST;sp|Q99208|YL066_YEAST;sp|Q3E7X8|YE077_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|P0CX14|YRF13_YEAST	sp|P43538|YFG6_YEAST Y element ATP-dependent helicase YFL066C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YFL066C PE=2 SV=1;sp|P38899|YH18_YEAST Uncharacterized protein YHR218W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S2	0.896224094625646	0.565105348577775	0.736814971529519	0.734826954411131	0.490117258133752	0.659124183407495	0.774309288004477	0.556366062985384	0.999903620391244	0.991948625721696	0.996848488371953	0.96639879618124	0.902645024436351	0.900892993092499	0.937992052411188	0.97520638142141	0.031235339330987	0.154923383039854	0.0806242982052261	0.114918602465355	0.16668077477253	0.118495605085997	-0.0972279828755447	-0.1584613830561	23.5584319522765	23.4824692339717	23.5843992049129	23.4459433579466	23.62466517971	23.7174329437179	23.2644196913963	23.4446802734316	23.8737076905356	NA	23.6688226736485	23.5603421645258	23.5255198532726	NA	23.6191892014091	NA	23.6397558053449	23.6928538426858	23.6802444731181	23.6836748686494	NA	23.5618575394101	23.4070426160682	NA	NA	23.355146740306	23.3364716914693	NA
sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3;sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN	0.945740278026365	3.94574355343427e-06	0.798046384410478	0.674223141104309	0.230303414431471	0.385250224946527	0.0116576410619095	0.0121582778055262	0.999903620391244	0.00218988767215602	0.996848488371953	0.96639879618124	0.803037658728549	0.739770981585953	0.452998107923082	0.36809490217144	0.0416138899546041	-3.79608358027856	-0.156579266929295	0.257599006849475	-0.747175566241658	-0.599313348877118	-1.6768123876362	-1.66528129031346	25.3437855697358	26.4837611722196	26.0021940333277	26.3638766130686	26.2082513291332	26.2571528660311	26.5092692933154	23.1021346261162	22.4779321432096	21.8815143084544	25.9692802364379	26.3799079227224	26.0309058586677	26.3380372119428	26.6135799601249	26.6710116670966	26.198617394365	25.1235259490325	25.2861617764934	26.1129892096043	NA	25.2549386383854	24.0020437693647	23.5439210680768	26.2734298182658	25.2477143116175	23.0812018943097	25.5250717417483
sp|O14467|MBF1_YEAST	sp|O14467|MBF1_YEAST	sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.1922867935955	NA	NA	21.7542987172687	NA	NA	NA	NA	NA	NA	NA	23.7878571365797	22.6800512708447	23.3310131339136
sp|O43137|YB085_YEAST	sp|O43137|YB085_YEAST	sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.6397999575397	NA	NA	NA	NA	NA	NA	22.7626959005292	NA	23.1525330466278	23.2062178794893	23.2901054928166	NA	NA	NA	NA	NA	NA	22.9768717372807	22.8976852126374	NA	NA	NA	NA	NA	NA
sp|P0C2I5|YL12B_YEAST;sp|P0C2I9|YP12B_YEAST;sp|P0CX58|YP12A_YEAST;sp|O74302|YD13A_YEAST;sp|P0CX70|YD15A_YEAST;sp|P0CX72|YL12A_YEAST;sp|P0CX73|YP11A_YEAST;sp|Q12414|YP11B_YEAST;sp|Q03612|YE11B_YEAST;sp|P0CX71|YE11A_YEAST;sp|Q07793|YD13B_YEAST;sp|P0C2I3|YD15B_YEAST;sp|P0CX57|YA11A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX76|YM12A_YEAST;sp|Q12085|YG11A_YEAST;sp|P0CX74|YJ11A_YEAST;sp|P0C2I8|YL14A_YEAST;sp|P0C2I6|YL13B_YEAST;sp|P0CX75|YL13A_YEAST;sp|Q03434|YM12B_YEAST;sp|P47100|YJ12B_YEAST;sp|P47098|YJ11B_YEAST;sp|Q12141|YG11B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|Q12269|YG12B_YEAST;sp|Q12273|YO11B_YEAST;sp|Q92393|YO12B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q03855|YD11B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q12088|YL11B_YEAST;sp|O13535|YH11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|P0CX59|YO12A_YEAST;sp|Q04711|YM11B_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0C2I2|YD14B_YEAST;sp|Q12485|YG12A_YEAST;sp|Q03856|YD11A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q92392|YO11A_YEAST;sp|Q12193|YB12B_YEAST;sp|Q99337|YN12B_YEAST;sp|P0CX69|YM14A_YEAST;sp|Q99231|YD12B_YEAST;sp|Q12441|YD12A_YEAST;sp|Q12112|YN11B_YEAST;sp|Q12391|YN11A_YEAST	sp|P0C2I5|YL12B_YEAST;sp|P0C2I9|YP12B_YEAST;sp|P0CX58|YP12A_YEAST;sp|O74302|YD13A_YEAST;sp|P0CX70|YD15A_YEAST;sp|P0CX72|YL12A_YEAST;sp|P0CX73|YP11A_YEAST;sp|Q12414|YP11B_YEAST;sp|Q03612|YE11B_YEAST;sp|P0CX71|YE11A_YEAST;sp|Q07793|YD13B_YEAST;sp|P0C2I3|YD15B_YEAST;sp|P0CX57|YA11A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX76|YM12A_YEAST;sp|Q12085|YG11A_YEAST;sp|P0CX74|YJ11A_YEAST;sp|P0C2I8|YL14A_YEAST;sp|P0C2I6|YL13B_YEAST;sp|P0CX75|YL13A_YEAST;sp|Q03434|YM12B_YEAST;sp|P47100|YJ12B_YEAST;sp|P47098|YJ11B_YEAST;sp|Q12141|YG11B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|Q12269|YG12B_YEAST;sp|Q12273|YO11B_YEAST;sp|Q92393|YO12B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q03855|YD11B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q12088|YL11B_YEAST;sp|O13535|YH11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|P0CX59|YO12A_YEAST;sp|Q04711|YM11B_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0C2I2|YD14B_YEAST;sp|Q12485|YG12A_YEAST;sp|Q03856|YD11A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q92392|YO11A_YEAST;sp|Q12193|YB12B_YEAST;sp|Q99337|YN12B_YEAST;sp|P0CX69|YM14A_YEAST;sp|Q99231|YD12B_YEAST;sp|Q12441|YD12A_YEAST	sp|P0C2I5|YL12B_YEAST Transposon Ty1-LR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-LR2 PE=3 SV=1;sp|P0C2I9|YP12B_YEAST Transposon Ty1-PR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 2045	0.109206645263457	0.085337913872942	0.918658124978986	0.926908332995128	0.0309082297856568	0.395425815675423	0.71602510988147	0.296065290601039	0.955244671644286	0.991948625721696	0.996848488371953	0.975522287092173	0.532503353948103	0.745676765041637	0.917768905275325	0.916349427908684	-0.560398399200761	0.604910106391941	-0.0346228275963973	-0.0310999698379284	0.775161926283939	-0.290628679535629	0.123513354001037	-0.358972253603728	26.2393863628063	26.5867772663288	26.4492851936301	25.6061422094925	25.5322546078084	25.5571605310939	25.8715943329468	26.5310797807033	27.2696363668668	26.6562188410571	26.0174818030924	26.5401560692873	25.9806983142825	25.8492867347422	26.2746743179347	26.4249437072607	26.9281832841395	27.000669201247	27.0388379629167	26.073042233854	25.7990697202466	25.8982066767439	26.5406142999997	26.3655962439878	26.106534187467	25.7857138659007	25.136648235074	26.6429258076655
sp|O74700|TIM9_YEAST	sp|O74700|TIM9_YEAST	sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5492902057266	NA	NA	22.6540564526454	NA	NA	22.6824108594297	22.7301997790156	23.0072894402324	NA	NA	22.464334352711	22.3299463046428	NA	22.4977261428437	NA	NA	22.5976206814201	NA	NA	NA	NA	22.526761888119	22.53257565988	NA	NA	NA
